회사명,거래소코드,회계년도,자산,유동자산,재고자산,매출채권및기타유동채권,비유동자산,유형자산,부채,유동부채,장기차입금,단기차입금,장기사채,단기사채,유동성장기부채,자본,매출원가,매출액,당기순이익,판매비와관리비,(정상)영업손익,법인세비용차감전순이익,급여,세금과공과,이자비용,기말자본금,기초자본금,유무형자산등상각비,대손상각비,감가상각비,영업활동으로인한현금흐름
(주)CMG제약,58820,2010/09,23456619,9965208,1946644,5063612,13491411,9055560,15723286,11171584,46200,551000,3400000,0,0,7733334,6256318,7980566,-4187367,5429826,-3705578,-4187367,1791309,89350,972784,10914543,8292165,1321,11516,1065106,-1388441
(주)CMG제약,58820,2011/09,29477750,14760027,3352328,8131871,14717723,9910510,9461282,6389723,2000000,0,0,0,23100,20016467,6956005,12276653,572373,5611542,696229,572373,1879490,89667,0,21846600,20588188,1020,0,678655,-676550
(주)CMG제약,58820,2012/09,45515723,33764182,2420524,10259505,11751541,9612748,29843038,7957865,0,0,0,0,0,15672685,8503073,12368445,-3363708,6278721,-2890510,-3363708,0,0,507788,22678546,21846600,919,379207,594065,-1768573
(주)CMG제약,58820,2013/09,56982689,40818825,4848894,11345187,16163864,10654316,7958937,6390879,0,0,1477249,0,0,49023752,8891822,15106027,553359,5157359,1056846,583510,2026175,112470,1103248,43257754,33012770,823,235350,780062,-3632804
(주)CMG제약,58820,2014/09,57703300,28763033,4802462,13371257,28940267,18912799,8394002,6786838,0,0,1505132,0,0,49309297,10585133,16988678,276510,6139758,263788,276510,2309659,158335,89925,43313433,43313433,1003,172125,950485,97772
(주)CMG제약,58820,2015/09,58320360,27110539,5034121,13851924,31209821,17762155,8220072,7529693,0,0,0,0,0,50100288,12276682,19625338,-717730,8270181,-921525,-717730,2462636,152017,79830,44148622,43313433,1387,1002142,1269564,1384905
(주)CMG제약,58820,2016/09,58008547,26551880,6692467,11706833,31456668,17092936,9167449,8090163,0,0,0,0,0,48841098,14456941,24113493,1096911,8621162,1035390,1036297,2813858,182894,0,44353622,44148622,1535,312203,1246688,1888759
(주)CMG제약,58820,2017/09,115588862,79685443,7220061,15347963,35903418,16387616,11753275,9988029,0,0,0,0,0,103835587,17579427,30802541,2536255,11123002,2100111,2562890,4059194,360145,0,54431122,54353622,1458,246012,1142435,2840129
(주)CMG제약,58820,2018/09,112368756,83056385,9053502,16951026,29312370,16241227,12398611,10596815,0,0,0,0,0,99970145,19778419,36431066,2009284,14866326,1786321,2602160,5437280,442365,0,54443622,54443622,1372,372534,1084424,-136199
(주)CMG제약,58820,2019/09,193088415,153837486,9990195,19174370,39250928,24088342,13237388,9860039,0,0,0,0,116662,179851027,21811230,42599405,2705076,19176215,1611960,3497766,6754011,603537,6360,69446122,54443622,1545,392533,1217871,3718827
(주)CMG제약,58820,2020/09,203087271,153840982,13819234,20021114,49246289,29890655,19795673,15855358,0,0,0,0,0,183291598,24727765,47601322,2673795,21547105,1326452,2777082,6987303,706707,18469,69446122,69446122,1838,365021,1532242,7788888
(주)CMG제약,58820,2021/09,197402233,141195773,13146989,18657470,56206461,30041986,12776118,11234842,0,0,0,0,0,184626115,26413091,51611106,2988344,23449709,1748306,3037361,7371727,745392,16627,69446122,69446122,1854,77482,1492408,5571262
(주)ES큐브,50120,2010/09,49673886,25942380,428480,6551894,23731506,1499938,4261423,3639117,0,0,0,0,0,45412464,23307571,28319711,864035,4182941,829199,864035,1055147,11106,73684,11621953,10609719,1010,0,196995,2930272
(주)ES큐브,50120,2011/09,45553678,20339638,349098,5538092,25214040,1754983,4286248,3277030,0,0,0,0,0,41267430,24192834,34401404,-1028409,11331740,-1123171,-1028409,2892120,198919,14570,11621953,11621953,2354,0,505708,1997817
(주)ES큐브,50120,2012/09,48478692,17497531,321070,5896146,30981161,1576380,5907629,4387268,0,0,0,0,0,42571063,27196275,37619698,3310603,7269396,3154027,3310603,3059512,174303,32239,11696579,11621953,2734,0,459625,6496332
(주)ES큐브,50120,2013/09,63463775,36558116,477774,6240839,26905659,994319,5018430,3795008,0,0,0,0,0,58445345,29712499,40578178,46665,9404233,1461446,46665,3063874,367509,22822,18246663,11696579,2518,567880,292061,5000112
(주)ES큐브,50120,2014/09,49176282,35215748,601296,3769271,13960534,725738,4069550,3197565,0,0,0,0,0,45106732,26903162,32356477,1528654,5006316,446998,1528654,1909195,98613,0,18246663,18246663,958,0,132730,4426001
(주)ES큐브,50120,2015/09,49992952,26326448,437319,4272270,23666504,611736,5203994,4583191,0,0,0,0,0,44788958,27251711,32252281,3572164,2744208,2256362,3572164,1426570,36952,0,18246663,18246663,252,0,60709,6222868
(주)ES큐브,50120,2016/09,104922598,45618460,609413,1906940,59304137,4310289,34591379,3184973,30000000,0,0,0,0,70331219,24630909,29563520,17209475,2877338,2055273,17209475,1303161,22346,2198,20810764,18246663,155,74194,117818,5555158
(주)ES큐브,50120,2017/09,107442435,46461381,336196,5106560,60981054,7632770,36237291,6577176,27700000,0,0,0,1200000,71205143,27106332,32555693,1593016,3147752,2301609,1644819,1247860,4991,589829,41621527,20810764,515,0,504913,5642356
(주)ES큐브,50120,2018/09,118731384,44165412,628448,5480848,74565972,7253379,45680303,40713448,2500000,0,0,10000000,25200000,73051081,22661316,27363654,1427685,3724011,978326,1920145,1423192,11775,1049092,41621527,41621527,573,0,446973,2266154
(주)ES큐브,50120,2019/09,146743160,33519172,528808,5704655,113223988,10687060,81726481,54150818,25200000,0,0,37256382,1200000,65016679,18869505,23111154,-1333731,3960894,280756,-1516901,1538009,9324,2116432,42659948,41621527,540,0,474320,2593346
(주)ES큐브,50120,2020/09,99608547,15204209,434366,6434738,84404338,484712,11045370,10396423,0,0,0,3400000,0,88563177,20025205,24665288,-13451729,3627839,1012245,-13451729,1547720,5771,3108208,69092016,42815711,287,0,281184,-69622
(주)ES큐브,50120,2021/09,88529091,11824433,0,6896476,76704658,831670,14082598,13177930,0,4300000,0,0,2882558,74446493,25263980,30459055,1532593,3459567,1735508,1532593,1446576,0,438717,69092016,69092016,156,0,149005,-44479
