회사명,거래소코드,회계년도,자산,유동자산,재고자산,매출채권및기타유동채권,비유동자산,유형자산,부채,유동부채,장기차입금,단기차입금,장기사채,단기사채,유동성장기부채,자본,매출원가,매출액,당기순이익,판매비와관리비,(정상)영업손익,법인세비용차감전순이익,급여,세금과공과,이자비용,기말자본금,기초자본금,유무형자산등상각비,대손상각비,감가상각비,영업활동으로인한현금흐름
(주)CMG제약,58820,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,2013/09,56997644,40742605,4848894,11327559,16255039,10688791,7997418,6429361,0,6885,1477249,0,0,49000225,8891822,15186027,541688,5258739,1035466,571839,2040204,113308,1103599,43257754,33012770,832,235350,87984,-3640506
(주)CMG제약,58820,2014/09,57646794,28706417,4802462,13343937,28940377,18912799,8398498,6791334,0,4443,1505132,0,0,49248296,10585133,16988678,266439,6142522,261024,266439,2309659,158383,89925,43313433,43313433,1003,172125,113135,93111
(주)CMG제약,58820,2015/09,58261383,27051562,5034121,13851924,31209821,17762155,8226908,7536529,0,0,0,0,0,50034474,12276682,19625338,-719149,8271467,-922812,-719149,2462636,152017,79830,44148622,43313433,1387,1002142,200203,1384300
(주)CMG제약,58820,2016/09,57949396,26492728,6692467,11676979,31456668,17092936,9174116,8096829,0,0,0,0,0,48775280,14456941,24113493,1096911,8621162,1035390,1036297,2813858,182894,0,44353622,44148622,1535,312203,213055,1888759
(주)CMG제약,58820,2017/09,115588862,79685443,7220061,15347963,35903418,16387616,11753275,9988029,0,0,0,0,0,103835587,17579427,30802541,2536255,11123002,2100111,2562890,4059194,360145,0,54431122,54353622,1458,246012,212794,2840129
(주)CMG제약,58820,2018/09,112368756,83056385,9053502,16951026,29312370,16241227,12398611,10596815,0,0,0,0,0,99970145,19778419,36431066,2009284,14866326,1786321,2602160,5437280,442365,0,54443622,54443622,1372,372534,246114,-136199
(주)CMG제약,58820,2019/09,193088415,153837486,9990195,19174370,39250928,24088342,13237388,9860039,0,0,0,0,116662,179851027,21811230,42599405,2705076,19176215,1611960,3497766,6754011,603537,6360,69446122,54443622,1545,392533,322073,3718827
(주)CMG제약,58820,2020/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,2021/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)ES큐브,50120,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)ES큐브,50120,2011/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)ES큐브,50120,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)ES큐브,50120,2013/09,62872932,42360152,1063413,6971266,20512780,2620467,4068308,2799183,0,153780,0,0,0,58804624,38341984,51904057,-2658,11545996,2016077,201183,3753658,398747,29163,18246663,11696579,3174,360934,154211,5982475
(주)ES큐브,50120,2014/09,47328690,39786943,1585999,2733942,7541748,1956123,3437936,2553754,0,152530,0,0,0,43890754,31840325,39864727,1943817,7228679,795723,2175142,2540329,123291,3696,18246663,18246663,1343,0,208511,7243038
(주)ES큐브,50120,2015/09,63299817,46575398,1747294,4264182,16724420,2120389,6118332,5269300,0,498204,0,2000000,0,57181485,27050547,34533142,2095485,8203856,-721260,2277516,2660071,129209,305362,18246663,18246663,691,13189,271825,6016778
(주)ES큐브,50120,2016/09,103940400,52571834,3193257,1676873,51368566,4824209,32793850,1383890,30000000,0,0,0,0,71146550,21876912,29867787,20852222,5882915,2107961,20974395,2161931,70777,39204,20810764,18246663,422,69194,240307,4762916
(주)ES큐브,50120,2017/09,106367801,50801030,4418538,3440852,55566771,11797738,32994791,3328621,27700000,0,0,0,1200000,73373010,23165405,31613349,2206815,5610543,2837401,2436208,1949227,35714,589829,41621527,20810764,788,0,506992,5384219
(주)ES큐브,50120,2018/09,116327882,53264533,6914957,3391239,63063349,11030106,43143520,38151163,2535520,0,0,10000000,25226640,73184362,22748235,29303898,-565914,6529430,26233,-6413,2034402,43442,1050163,41621527,41621527,1380,0,497898,2070447
(주)ES큐브,50120,2019/09,335576466,227113444,4280720,46296701,108463022,14893050,259260002,72573439,25200000,14982250,0,37256381,1200000,76316464,25525302,32030996,-2588861,7375722,-870028,-2747318,2432984,99512,2190022,42659948,41621527,1046,672942,598180,-4517860
(주)ES큐브,50120,2020/09,572587349,433940834,4859096,233955365,138646516,26449323,492263564,367217549,0,0,0,3400000,0,80323785,47703009,60835228,-14911248,9722828,3409391,-13372862,4670553,465631,3218740,69092016,42815711,1155,13903661,694861,74606826
(주)ES큐브,50120,2021/09,958546302,275942539,11033837,18469407,62417027,33447280,877281733,670836857,0,4300000,0,3100000,0,81264569,70022654,92181936,10793392,10516895,11642387,11002395,4483125,640693,638026,69092016,69092016,1784,24855879,1258747,30581684
(주)가비아,79940,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,2011/09,62857369,27395274,0,4644808,35462095,22191761,15819186,13399888,1159960,0,0,0,4823567,47038184,20925392,38131427,5427734,10838268,6383755,6595581,4666337,300845,287224,6367842,6367842,2502,0,411741,7869586
(주)가비아,79940,2012/09,80712257,24957328,755323,6435948,55754929,42417838,26399249,11894369,9873320,2000000,0,0,826640,54313007,30282077,51268642,4806197,15193840,5858422,5885620,7445099,479870,369575,6667842,6367842,4053,95722,741006,6529030
(주)가비아,79940,2013/09,90155980,33864790,223940,9702463,56291190,37060758,23505521,16008229,5500000,1000000,0,0,4333320,66650459,29239209,52636961,7635791,18386828,5010925,9317392,8784029,532223,344239,6667842,6667842,4950,36695,995510,9226847
(주)가비아,79940,2014/09,96667268,39701248,0,9104032,56966020,36941910,22151236,14825869,4950000,3500000,0,0,550000,74516032,33034232,59627901,5629019,19741953,6851717,6576906,8752212,570468,265235,6767842,6667842,4884,35511,1036476,11525102
(주)가비아,79940,2015/09,103662340,48558673,0,9578158,55103667,37643711,20494305,12716099,5500000,500000,0,0,0,83168036,37344786,68175357,7721011,22413007,8417564,8993000,10641506,661619,139525,6767842,6767842,5282,502075,1061089,12990073
(주)가비아,79940,2016/09,117447947,52555986,2266463,12145144,64891961,43346422,24035306,15750984,5500000,500000,0,0,0,93412641,39548939,73264319,7574723,24395725,9319655,8504391,11787673,703508,101375,6767842,6767842,5347,0,945734,12378916
(주)가비아,79940,2017/09,130340459,62292473,2233829,13746626,68047987,45545167,28415323,24280312,1700000,2600000,0,0,5500000,101925136,43810394,83574740,6418021,31981002,7783343,7741760,14036294,844504,176834,6767842,6767842,5679,320778,1391706,11940542
(주)가비아,79940,2018/09,144538538,77208816,2941785,17260292,67329722,45352357,36106794,29551629,2700000,7500000,0,0,0,108431744,48067267,91683885,10018716,32177638,11438981,12239771,15238718,939888,197667,6767842,6767842,5512,73314,1388434,16212457
(주)가비아,79940,2019/09,193824450,82584719,3901995,18640649,111239731,85565996,66892134,43317959,11548170,10046568,0,0,0,126932316,53177038,102709164,12937366,35092526,14439600,15910037,16930226,1090121,516950,6767842,6767842,14608,41233,1520894,24988274
(주)가비아,79940,2020/09,244791642,123892000,4192172,17620115,120899643,89760879,80265714,53236297,18899272,12100000,0,0,0,164525928,61716770,120882912,15444197,40582736,18583406,18842917,19015059,0,339979,6767842,6767842,14996,31756,1661197,37391117
(주)가비아,79940,2021/09,275830542,139956873,5896217,20592826,135873669,108360544,84520360,49207810,27388852,11100000,0,0,0,191310182,74341461,142203117,18333582,46625078,21236578,23080532,21103074,0,408025,6767842,6767842,15433,88000,2008944,25717531
(주)강스템바이오텍,217730,2015/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2016/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/09,47742346,26800757,1141839,5296865,20941589,13196057,33904237,5446899,4260000,1350000,30000000,0,560000,13838110,2135182,7459210,-10820098,13905661,-8581634,-10820098,2590365,0,1120497,7252053,7106825,709,0,250574,-8794751
(주)강스템바이오텍,217730,2018/09,89978060,54272355,1367559,6660652,35705705,13406294,23954174,8511399,4459722,1420000,12000000,0,343333,66023886,6094993,6737734,3525442,8959480,-8316739,3831182,2164513,0,623949,10401469,8125856,923,0,76382,-8699435
(주)강스템바이오텍,217730,2019/09,121393777,61383595,1419168,5110674,60010181,28668773,41727328,20507678,7676389,240000,1943145,12470481,83333,79666449,3962464,3569393,-15760068,15865734,-16258806,-15772025,2963813,0,806203,12042186,10412469,1351,0,79702,-9356985
(주)강스템바이오텍,217730,2020/09,87224550,39099759,355773,4446650,48124791,33460303,32364987,11305435,7300000,376389,0,2100000,0,54859563,5555795,6172609,-14155597,15040121,-14423307,-14155597,2470978,0,371060,12637699,12044686,2014,10000,90190,-11884482
(주)강스템바이오텍,217730,2021/09,70866693,32240652,577420,3883053,38626042,32451447,35958630,20937809,5830000,3300000,0,2100000,0,34908063,6747781,7746819,-14411537,16326817,-15327779,-14411537,2925111,0,606428,12814594,12688329,2901,0,30935,-11432788
(주)강원에너지,114190,2010/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2011/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2012/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2013/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2014/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,2015/09,73077087,53286026,1329709,22350382,19791061,10145823,16503322,16481172,0,238900,0,0,0,56573765,29651376,36012853,-135540,6208002,153475,-141984,1963698,45085,1061,7626515,7195481,446,0,130710,3866669
(주)강원에너지,114190,2016/09,73555227,49725691,1461681,24676782,23829536,14758667,20421790,10415999,10004000,0,0,0,0,53133438,25737193,29661946,-3281247,6058644,-2133891,-1806114,1917891,39969,2149,7626515,7626515,404,229760,81147,-17876472
(주)강원에너지,114190,2017/09,96625322,72227711,824524,45629931,24397611,15661047,40713880,30675436,10020000,2061039,0,0,0,55911442,52648781,58940297,1135904,5178399,1113117,1497252,2138867,50106,116327,7626515,7626515,377,557150,62591,-294138
(주)강원에너지,114190,2018/09,106291556,78398788,544280,45535210,27892767,15079583,59510472,55142471,0,7717828,5000000,18000000,0,46781084,62503217,65639828,-2626954,4001404,-864793,-3240704,2088308,38740,1047229,7626515,7626515,389,0,58936,-6173951
(주)강원에너지,114190,2019/09,73024035,49332751,650452,19882274,23691284,11005005,34824127,29624795,4020000,7900000,0,10910000,13037,38199908,33715972,31589658,-13503757,5990837,-8117152,-13421290,2083861,65722,1637296,7848147,7683448,582,1226956,184210,10768052
(주)강원에너지,114190,2020/09,43304383,26084208,692144,7548634,17220175,10181182,19073469,15195950,2656000,4500000,0,500000,31611,24230914,27062485,28400479,-6231806,5801287,-4463293,-6231806,1932209,57408,619465,9077456,8721837,999,0,522182,4215587
(주)강원에너지,114190,2021/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)경윤하이드로에너지,19120,2010/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2014/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2015/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2018/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2019/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2020/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2021/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
