회사명,거래소코드,회계년도,자산,부채,자본,유동자산,현금및현금성자산,유동부채,장기차입금,단기차입금,매출액,매출원가,당기순이익,법인세비용차감전순이익,영업활동으로인한현금흐름,,,
(주)CMG제약,58820,2009/09,31441625,12630459,18811166,11268652,1771247,8487883,46200,0,8311693,7173074,-7727415,-7727415,-4594594,,,
(주)CMG제약,58820,2010/09,23456619,15723286,7733334,9965208,231258,11171584,46200,551000,7980566,6256318,-4187367,-4187367,-1388441,,,
(주)CMG제약,58820,2011/09,29477750,9461282,20016467,14760027,485657,6389723,2000000,0,12276653,6956005,572373,572373,-676550,,,
(주)CMG제약,58820,2012/09,45515723,29843038,15672685,33764182,20297395,7957865,0,0,12368445,8503073,-3363708,-3363708,-1768573,,,
(주)CMG제약,58820,2013/09,56982689,7958937,49023752,40818825,3903928,6390879,0,0,15106027,8891822,553359,583510,-3632804,,,
(주)CMG제약,58820,2014/09,57703300,8394002,49309297,28763033,9546919,6786838,0,0,16988678,10585133,276510,276510,97772,,,
(주)CMG제약,58820,2015/09,58320360,8220072,50100288,27110539,7317089,7529693,0,0,19625338,12276682,-717730,-717730,1384905,,,
(주)CMG제약,58820,2016/09,58008547,9167449,48841098,26551880,2520372,8090163,0,0,24113493,14456941,1096911,1036297,1888759,,,
(주)CMG제약,58820,2017/09,115588862,11753275,103835587,79685443,9708638,9988029,0,0,30802541,17579427,2536255,2562890,2840129,,,
(주)CMG제약,58820,2018/09,112368756,12398611,99970145,83056385,13677815,10596815,0,0,36431066,19778419,2009284,2602160,-136199,,,
(주)CMG제약,58820,2019/09,193088415,13237388,179851027,153837486,22584442,9860039,0,0,42599405,21811230,2705076,3497766,3718827,,,
(주)CMG제약,58820,2020/09,203087271,19795673,183291598,153840982,4966358,15855358,0,0,47601322,24727765,2673795,2777082,7788888,,,
(주)CMG제약,58820,2021/09,197402233,12776118,184626115,141195773,5884992,11234842,0,0,51611106,26413091,2988344,3037361,5571262,,,
(주)ES큐브,50120,2009/09,46099552,4097886,42001666,24847266,3895482,1495692,0,0,20377676,16971560,4592153,4592153,9380025,,,
(주)ES큐브,50120,2010/09,49673886,4261423,45412464,25942380,2501359,3639117,0,0,28319711,23307571,864035,864035,2930272,,,
(주)ES큐브,50120,2011/09,45553678,4286248,41267430,20339638,4486682,3277030,0,0,34401404,24192834,-1028409,-1028409,1997817,,,
(주)ES큐브,50120,2012/09,48478692,5907629,42571063,17497531,3838664,4387268,0,0,37619698,27196275,3310603,3310603,6496332,,,
(주)ES큐브,50120,2013/09,63463775,5018430,58445345,36558116,13856152,3795008,0,0,40578178,29712499,46665,46665,5000112,,,
(주)ES큐브,50120,2014/09,49176282,4069550,45106732,35215748,7675170,3197565,0,0,32356477,26903162,1528654,1528654,4426001,,,
(주)ES큐브,50120,2015/09,49992952,5203994,44788958,26326448,10839510,4583191,0,0,32252281,27251711,3572164,3572164,6222868,,,
(주)ES큐브,50120,2016/09,104922598,34591379,70331219,45618460,39135373,3184973,30000000,0,29563520,24630909,17209475,17209475,5555158,,,
(주)ES큐브,50120,2017/09,107442435,36237291,71205143,46461381,29729460,6577176,27700000,0,32555693,27106332,1593016,1644819,5642356,,,
(주)ES큐브,50120,2018/09,118731384,45680303,73051081,44165412,20343846,40713448,2500000,0,27363654,22661316,1427685,1920145,2266154,,,
(주)ES큐브,50120,2019/09,146743160,81726481,65016679,33519172,7902157,54150818,25200000,0,23111154,18869505,-1333731,-1516901,2593346,,,
(주)ES큐브,50120,2020/09,99608547,11045370,88563177,15204209,1525271,10396423,0,0,24665288,20025205,-13451729,-13451729,-69622,,,
(주)ES큐브,50120,2021/09,88529091,14082598,74446493,11824433,4141626,13177930,0,4300000,30459055,25263980,1532593,1532593,-44479,,,
(주)가비아,79940,2009/09,36440844,18575340,17865504,14436160,2548120,4575196,2480000,0,16449557,8541928,2049518,2528095,1376378,,,
(주)가비아,79940,2010/09,33855803,12561869,21293934,9064559,1517510,5558466,4320000,0,18876524,10257306,2847776,3369427,899036,,,
(주)가비아,79940,2011/09,37061922,13322827,23739095,9360803,2676871,11917687,1159960,0,24546254,14810784,2725799,3210755,4808260,,,
(주)가비아,79940,2012/09,49585929,21798564,27787365,7090488,1656021,8626027,9873320,1000000,28593555,17401250,2274260,2465387,3806229,,,
(주)가비아,79940,2013/09,52159008,17427928,34731081,9421673,3253555,11687928,5500000,0,30301191,18518210,3774885,4442034,3296941,,,
(주)가비아,79940,2014/09,54054556,16680758,37373798,12983182,5883367,11490758,4950000,3000000,32913270,20438974,2173050,2242784,5919070,,,
