회사명,거래소코드,회계년도,자산,유동자산,현금및현금성자산,부채,유동부채,매출액,장기차입금,단기차입금,당기순이익,영업활동으로인한현금흐름,법인세비용차감전순이익,매출원가,자본
(주)CMG제약,58820,2009/09,,,,,,,,,,,,,
(주)CMG제약,58820,2010/09,,,,,,,,,,,,,
(주)CMG제약,58820,2011/09,,,,,,,,,,,,,
(주)CMG제약,58820,2012/09,,,,,,,,,,,,,
(주)CMG제약,58820,2013/09,56997644,40742605,3904337,7997418,6429361,15186027,0,6885,541688,-3640506,571839,8891822,49000225
(주)CMG제약,58820,2014/09,57646794,28706417,9546923,8398498,6791334,16988678,0,4443,266439,93111,266439,10585133,49248296
(주)CMG제약,58820,2015/09,58261383,27051562,7317267,8226908,7536529,19625338,0,0,-719149,1384300,-719149,12276682,50034474
(주)CMG제약,58820,2016/09,57949396,26492728,2520375,9174116,8096829,24113493,0,0,1096911,1888759,1036297,14456941,48775280
(주)CMG제약,58820,2017/09,115588862,79685443,9708638,11753275,9988029,30802541,0,0,2536255,2840129,2562890,17579427,103835587
(주)CMG제약,58820,2018/09,112368756,83056385,13677815,12398611,10596815,36431066,0,0,2009284,-136199,2602160,19778419,99970145
(주)CMG제약,58820,2019/09,193088415,153837486,22540686,13237388,9860039,42599405,0,0,2705076,3718827,3497766,21811230,179851027
(주)CMG제약,58820,2020/09,,,,,,,,,,,,,
(주)CMG제약,58820,2021/09,,,,,,,,,,,,,
(주)ES큐브,50120,2009/09,,,,,,,,,,,,,
(주)ES큐브,50120,2010/09,,,,,,,,,,,,,
(주)ES큐브,50120,2011/09,,,,,,,,,,,,,
(주)ES큐브,50120,2012/09,,,,,,,,,,,,,
(주)ES큐브,50120,2013/09,62872932,42360152,17618543,4068308,2799183,51904057,0,153780,-2658,5982475,201183,38341984,58804624
(주)ES큐브,50120,2014/09,47328690,39786943,11615749,3437936,2553754,39864727,0,152530,1943817,7243038,2175142,31840325,43890754
(주)ES큐브,50120,2015/09,63299817,46575398,24499423,6118332,5269300,34533142,0,498204,2095485,6016778,2277516,27050547,57181485
(주)ES큐브,50120,2016/09,103940400,52571834,42910021,32793850,1383890,29867787,30000000,0,20852222,4762916,20974395,21876912,71146550
(주)ES큐브,50120,2017/09,106367801,50801030,33124357,32994791,3328621,31613349,27700000,0,2206815,5384219,2436208,23165405,73373010
(주)ES큐브,50120,2018/09,116327882,53264533,25013491,43143520,38151163,29303898,2535520,0,-565914,2070447,-6413,22748235,73184362
(주)ES큐브,50120,2019/09,335576466,227113444,145076748,259260002,72573439,32030996,25200000,14982250,-2588861,-4517860,-2747318,25525302,76316464
(주)ES큐브,50120,2020/09,572587349,433940834,22230794,492263564,367217549,60835228,0,0,-14911248,74606826,-13372862,47703009,80323785
(주)ES큐브,50120,2021/09,958546302,275942539,45090325,877281733,670836857,92181936,0,4300000,10793392,30581684,11002395,70022654,81264569
(주)가비아,79940,2009/09,,,,,,,,,,,,,
(주)가비아,79940,2010/09,,,,,,,,,,,,,
(주)가비아,79940,2011/09,62857369,27395274,12153633,15819186,13399888,38131427,1159960,0,5427734,7869586,6595581,20925392,47038184
(주)가비아,79940,2012/09,80712257,24957328,11889290,26399249,11894369,51268642,9873320,2000000,4806197,6529030,5885620,30282077,54313007
(주)가비아,79940,2013/09,90155980,33864790,8318960,23505521,16008229,52636961,5500000,1000000,7635791,9226847,9317392,29239209,66650459
(주)가비아,79940,2014/09,96667268,39701248,11046520,22151236,14825869,59627901,4950000,3500000,5629019,11525102,6576906,33034232,74516032
(주)가비아,79940,2015/09,103662340,48558673,18359645,20494305,12716099,68175357,5500000,500000,7721011,12990073,8993000,37344786,83168036
(주)가비아,79940,2016/09,117447947,52555986,21456409,24035306,15750984,73264319,5500000,500000,7574723,12378916,8504391,39548939,93412641
(주)가비아,79940,2017/09,130340459,62292473,29091765,28415323,24280312,83574740,1700000,2600000,6418021,11940542,7741760,43810394,101925136
(주)가비아,79940,2018/09,144538538,77208816,33877538,36106794,29551629,91683885,2700000,7500000,10018716,16212457,12239771,48067267,108431744
(주)가비아,79940,2019/09,193824450,82584719,22021397,66892134,43317959,102709164,11548170,10046568,12937366,24988274,15910037,53177038,126932316
(주)가비아,79940,2020/09,244791642,123892000,53995015,80265714,53236297,120882912,18899272,12100000,15444197,37391117,18842917,61716770,164525928
(주)가비아,79940,2021/09,275830542,139956873,37337199,84520360,49207810,142203117,27388852,11100000,18333582,25717531,23080532,74341461,191310182
(주)강스템바이오텍,217730,2015/09,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2016/09,,,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/09,47742346,26800757,3368127,33904237,5446899,7459210,4260000,1350000,-10820098,-8794751,-10820098,2135182,13838110
(주)강스템바이오텍,217730,2018/09,89978060,54272355,7775092,23954174,8511399,6737734,4459722,1420000,3525442,-8699435,3831182,6094993,66023886
(주)강스템바이오텍,217730,2019/09,121393777,61383595,10928073,41727328,20507678,3569393,7676389,240000,-15760068,-9356985,-15772025,3962464,79666449
(주)강스템바이오텍,217730,2020/09,87224550,39099759,6071477,32364987,11305435,6172609,7300000,376389,-14155597,-11884482,-14155597,5555795,54859563
(주)강스템바이오텍,217730,2021/09,70866693,32240652,8709990,35958630,20937809,7746819,5830000,3300000,-14411537,-11432788,-14411537,6747781,34908063
(주)강원에너지,114190,2010/08,,,,,,,,,,,,,
(주)강원에너지,114190,2011/08,,,,,,,,,,,,,
(주)강원에너지,114190,2012/09,,,,,,,,,,,,,
(주)강원에너지,114190,2013/09,,,,,,,,,,,,,
(주)강원에너지,114190,2014/09,,,,,,,,,,,,,
