,회사명,거래소코드,회계년도,감사의견코드,y,자기자본비율,부채비율,유동비율,당좌비율,차입금의존도,매출액규모,총자산규모,부채상환계수,총자본순이익률,자본금세전순이익률,자기자본순이익률,매출액세전순이익률,매출액영업이익률,금융비용대비매출액,매출원가율,이자보상배율,총자본회전율,자기자본회전율,비유동자산회전율,유형고정자산회전율,매출채권회전율,재고자산회전율,운전자산회전율,총자산증가율,유형자산증가율,매출액증가율,순이익증가율,자기자본증가율,총자본투자효율,부가가치율,노동소득분배율,현금흐름,광업,교육 서비스업,도매 및 소매업,"사업시설 관리, 사업 지원 및 임대 서비스업","수도, 하수 및 폐기물 처리, 원료 재생업","예술, 스포츠 및 여가관련 서비스업","전기, 가스, 증기 및 공기조절 공급업","전문, 과학 및 기술 서비스업",정보통신업,제조업
0,(주)강원에너지,114190,2020,1,1.0,41.65949200822107,78.71543351604483,171.65236790065774,97.34650176075884,12.303098628918,17.161916569186385,17.58376441186839,-89.56072478837432,-10.714159286512432,-10.714159286512432,-25.71841078714571,-21.94260878487296,-15.715555360879652,2.1811780005541457,95.28883298059868,-720.507696157168,48.828101487634775,117.20762576269306,138.83874930982049,268.1037319268446,207.0691863353557,4103.261604521603,260.83583801926807,-40.69845222877645,-7.485893918267189,-10.09564269420074,-146.1486829183908,-36.56813519027323,-3.35514577358045,-6.871341853072267,-99.0117827674592,17.397556691423198,0,0,0,0,0,0,0,0,0,1
1,(주)골드앤에스,35290,2014,1,1.0,20.669767982344705,335.3119914323672,51.192980060984695,78.53653786444376,36.33789487322443,17.0341483945155,17.714853327938087,7.374010770371145,-7.445353768343861,-7.514565928345913,-36.02049996257039,-16.34464537181268,-7.858117917739706,5.820381017867011,69.5179344876907,-135.01036948642,45.55225028732542,220.3810431071812,67.65369289164933,119.20666916885378,326.8167047008409,724.574247546225,-163.12134411086748,-18.21820985774389,21.664093693745127,-20.33763019690404,-231.8554053696396,-55.32790123530705,2.7456501781307328,6.0274742977839,193.36280542445783,-8.818697768833859,0,0,0,0,0,0,0,0,1,0
2,(주)골드앤에스,35290,2015,1,1.0,48.36887639822949,42.09376568067947,324.7742499009473,80.87934259817123,0.5987621292937465,16.560885573575067,17.067764174703267,-358.8132553423437,-15.116176577687956,-1.437313614713866,-31.251866289458142,-36.51199078870671,0.9434600870931684,2.936857581269959,70.54022580718916,32.12481575920329,41.40058170250044,85.59343277202089,69.63470813316265,133.13822351993306,252.0286666597605,564.4564445859069,155.94386264038044,-47.64324141764579,-98.3762333065232,-37.70336789342392,-239.1632553597887,60.3977819452445,5.770305126192462,13.937739251243316,76.62094518906132,7.409361549797549,0,0,0,0,0,0,0,0,1,0
3,(주)골드앤에스,35290,2019,0,1.0,37.021189912189634,171.14701710712944,41.74428328795933,76.59677338309439,6.594572818245759,15.63746406452254,17.23139216341814,-144.15261253334336,-35.200342627625346,-34.676298304050626,-95.08160788758236,-172.63381343279116,-72.0571572077096,43.25951777891298,60.81260338293127,-166.5694878430525,20.390178452108017,55.07704776770108,37.308653263286274,58.26971668512822,433.10361201750646,348.4846879633298,-58.44103486081013,0.7666316884780271,38.0020046940655,-7.731281792349962,-442.6141640804773,-8.762798593904808,-6.899848783147991,-33.839079924455774,-69.58392112335753,-45.10871477207194,0,0,0,0,0,0,0,0,1,0
4,(주)골드앤에스,35290,2020,1,1.0,-12.7547038086634,-704.7184680515513,17.931352605027243,77.87801171405337,6.355325637519166,14.987710302388566,16.76575863162193,-34.42710603506697,-17.252203136221553,-17.187801278314524,-6691.3659638640565,-132.37852297614683,-55.173782814218754,73.15533054534284,39.94075107274872,-75.42004444914807,13.032478946248863,-102.17782507341953,16.988581159366724,37.84688171407829,356.07446594420844,368.8560974968958,-17.828585992038253,-37.22627123434783,-61.34882637797944,-47.78256599730236,-140.0412100586115,-128.14683229758344,-0.1200779643071964,-0.9213747039411748,-2612.069776821726,17.882625591604242,0,0,0,0,0,0,0,0,1,0
5,(주)골드퍼시픽,38530,2017,1,1.0,23.373858540144457,302.39159939652944,97.95964551106312,98.9108810412213,0.5257468115164559,15.980687840439074,17.105199899937904,2.258244477920128,-1.5216689965720782,-1.5216689965720782,-6.510131795136097,-4.980927926066414,2.219122738521964,8.636683158280832,88.00292147436247,25.69415477971163,30.54990995972481,130.7011844332656,78.09286218997057,518.7023376620285,121.4556512503548,4392.466512795186,-2296.8115017826603,-11.223796373069902,-40.11901811246541,-26.751786445560967,-111.72986022082056,-63.9369656594393,2.000028495477184,6.54675741471547,50.81533406352683,-18.94962765935912,0,0,1,0,0,0,0,0,0,0
6,(주)광무,29480,2014,1,1.0,20.775987688595883,331.1527560621837,78.98100317072704,97.57791752156572,20.10492972897812,17.31546348038277,17.456701502114885,22.02670417545779,-0.4790962617639017,-0.4790962617639017,-2.3060095574993134,-0.615983146409273,2.7883281497587733,3.1347688415856148,81.81048661357939,88.94844534528401,77.77749514035884,374.3624433463231,141.64418010632843,326.8369226635943,228.1511716882732,7113.389042243537,-647.405150948295,-18.87955420757168,-22.88940947202591,114.91342655105151,-102.0087153049618,-64.76000644927726,9.174683078114091,11.796063966263343,44.57394724607643,0.054796781607636,0,0,0,0,0,0,0,0,0,1
7,(주)국순당,43650,2019,1,1.0,88.14632200025656,9.163900388587075,1040.8914666967328,81.96654286087004,0.7961997403479026,17.54115834560524,19.232818892546764,13.609997785871206,-1.0403267971079762,-0.9230799781549958,-1.180227119521729,-5.869017251052373,-10.815785183063536,0.1281600659075862,63.34160407224368,-8439.278730445247,17.725740998996642,20.109450509965747,26.324353675903872,68.04772576990702,230.17289491179315,317.1247864277235,63.26668775449234,-7.277280901942435,-18.428467737338565,-9.682853514833669,-271.51010773556726,-6.439305934979311,1.0041902638282376,5.665152525274286,244.63380677697475,-1.924137749665195,0,0,0,0,0,0,0,0,0,1
8,(주)내츄럴엔도텍,168330,2019,1,1.0,41.57535106705512,99.97750814907532,808.926730587811,79.1810513530754,1.750966350404156,15.54724238339905,17.8243049115338,-283.54634269700614,-13.507662360826572,-13.507662360826572,-32.48959302602313,-158.37214895642472,-113.43676261156008,34.29172040150566,117.35796791430602,-330.7992754034568,8.529064264034918,20.51471375498129,13.960651286109666,16.249885540511066,450.6157613370066,138.4603452864097,32.89213309295772,-28.85306151657034,-9.607847378024658,-18.292920816840727,-233.36780531512352,-48.04646193358136,-7.001036685288471,-82.08446399929493,-32.59989055924742,-16.38555120592083,0,0,0,0,0,0,0,1,0,0
9,(주)내츄럴엔도텍,168330,2020,1,1.0,37.64075447740857,159.2043472828272,74.88206411486293,80.59383320298284,0.0,15.98167563312744,17.775624702348264,7.031556682924607,-1.949257165947284,-1.949257165947284,-5.17858154813873,-12.01353251968736,-3.1972451738219534,22.447869918729005,44.130950979631415,-14.24297799923718,16.22551204446243,43.10623490344952,26.13098056817107,27.83369668335272,353.3674613973444,212.422749651045,-122.89512216250633,-4.751432282936534,-10.124166023218176,54.40876987967821,-111.7128850653206,-26.51523097678641,2.496600987559136,15.386885669418335,107.37789848406184,-16.735830394823907,0,0,0,0,0,0,0,1,0,0
