Column1,회사명,거래소코드,회계년도,감사의견코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,(주)CMG제약,58820,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(주)CMG제약,58820,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,(주)CMG제약,58820,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,(주)CMG제약,58820,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,(주)CMG제약,58820,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(주)CMG제약,58820,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,(주)CMG제약,58820,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,(주)CMG제약,58820,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,(주)CMG제약,58820,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,(주)CMG제약,58820,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,(주)CMG제약,58820,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,(주)ES큐브,50120,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,(주)ES큐브,50120,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,(주)ES큐브,50120,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,(주)ES큐브,50120,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,(주)ES큐브,50120,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,(주)ES큐브,50120,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,(주)ES큐브,50120,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,(주)ES큐브,50120,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,(주)ES큐브,50120,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,(주)ES큐브,50120,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,(주)ES큐브,50120,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,(주)가비아,79940,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,(주)가비아,79940,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,(주)가비아,79940,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,(주)가비아,79940,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,(주)가비아,79940,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,(주)가비아,79940,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,(주)가비아,79940,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,(주)가비아,79940,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,(주)가비아,79940,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,(주)가비아,79940,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,(주)가비아,79940,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,(주)강스템바이오텍,217730,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,(주)강스템바이오텍,217730,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,(주)강스템바이오텍,217730,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,(주)강스템바이오텍,217730,2019,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,(주)강스템바이오텍,217730,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,(주)강스템바이오텍,217730,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,(주)강원에너지,114190,2011,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,(주)강원에너지,114190,2012,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,(주)강원에너지,114190,2013,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,(주)강원에너지,114190,2014,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,(주)강원에너지,114190,2015,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(주)강원에너지,114190,2016,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,(주)강원에너지,114190,2017,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,(주)강원에너지,114190,2018,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,(주)강원에너지,114190,2019,QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,(주)강원에너지,114190,2020,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,(주)강원에너지,114190,2021,UQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
