,회사명,거래소코드,회계년도,산업분류
0,(주)CMG제약,58820,2011,제조업
1,(주)CMG제약,58820,2012,제조업
2,(주)CMG제약,58820,2013,제조업
3,(주)CMG제약,58820,2014,제조업
4,(주)CMG제약,58820,2015,제조업
5,(주)CMG제약,58820,2016,제조업
6,(주)CMG제약,58820,2017,제조업
7,(주)CMG제약,58820,2018,제조업
8,(주)CMG제약,58820,2019,제조업
9,(주)CMG제약,58820,2020,제조업
10,(주)CMG제약,58820,2021,제조업
11,(주)ES큐브,50120,2011,도매 및 소매업
12,(주)ES큐브,50120,2012,도매 및 소매업
13,(주)ES큐브,50120,2013,도매 및 소매업
14,(주)ES큐브,50120,2014,도매 및 소매업
15,(주)ES큐브,50120,2015,도매 및 소매업
16,(주)ES큐브,50120,2016,도매 및 소매업
17,(주)ES큐브,50120,2017,도매 및 소매업
18,(주)ES큐브,50120,2018,도매 및 소매업
19,(주)ES큐브,50120,2019,도매 및 소매업
20,(주)ES큐브,50120,2020,도매 및 소매업
21,(주)ES큐브,50120,2021,도매 및 소매업
22,(주)가비아,79940,2011,정보통신업
23,(주)가비아,79940,2012,정보통신업
24,(주)가비아,79940,2013,정보통신업
25,(주)가비아,79940,2014,정보통신업
26,(주)가비아,79940,2015,정보통신업
27,(주)가비아,79940,2016,정보통신업
28,(주)가비아,79940,2017,정보통신업
29,(주)가비아,79940,2018,정보통신업
30,(주)가비아,79940,2019,정보통신업
31,(주)가비아,79940,2020,정보통신업
32,(주)가비아,79940,2021,정보통신업
33,(주)강스템바이오텍,217730,2016,제조업
34,(주)강스템바이오텍,217730,2017,제조업
35,(주)강스템바이오텍,217730,2018,제조업
36,(주)강스템바이오텍,217730,2019,제조업
37,(주)강스템바이오텍,217730,2020,제조업
38,(주)강스템바이오텍,217730,2021,제조업
39,(주)강원에너지,114190,2011,제조업
40,(주)강원에너지,114190,2012,제조업
41,(주)강원에너지,114190,2013,제조업
42,(주)강원에너지,114190,2014,제조업
43,(주)강원에너지,114190,2015,제조업
44,(주)강원에너지,114190,2016,제조업
45,(주)강원에너지,114190,2017,제조업
46,(주)강원에너지,114190,2018,제조업
47,(주)강원에너지,114190,2019,제조업
48,(주)강원에너지,114190,2020,제조업
49,(주)강원에너지,114190,2021,제조업
50,(주)고려시멘트,198440,2015,제조업
51,(주)고려시멘트,198440,2016,제조업
52,(주)고려시멘트,198440,2017,제조업
53,(주)고려시멘트,198440,2018,제조업
54,(주)고려시멘트,198440,2019,제조업
55,(주)고려시멘트,198440,2020,제조업
56,(주)고려시멘트,198440,2021,제조업
57,(주)고영테크놀러지,98460,2011,제조업
58,(주)고영테크놀러지,98460,2012,제조업
59,(주)고영테크놀러지,98460,2013,제조업
60,(주)고영테크놀러지,98460,2014,제조업
61,(주)고영테크놀러지,98460,2015,제조업
62,(주)고영테크놀러지,98460,2016,제조업
63,(주)고영테크놀러지,98460,2017,제조업
64,(주)고영테크놀러지,98460,2018,제조업
65,(주)고영테크놀러지,98460,2019,제조업
66,(주)고영테크놀러지,98460,2020,제조업
67,(주)고영테크놀러지,98460,2021,제조업
68,(주)골드앤에스,35290,2011,정보통신업
69,(주)골드앤에스,35290,2012,정보통신업
70,(주)골드앤에스,35290,2013,정보통신업
71,(주)골드앤에스,35290,2014,정보통신업
72,(주)골드앤에스,35290,2015,정보통신업
73,(주)골드앤에스,35290,2016,정보통신업
74,(주)골드앤에스,35290,2017,정보통신업
75,(주)골드앤에스,35290,2018,정보통신업
76,(주)골드앤에스,35290,2019,정보통신업
77,(주)골드앤에스,35290,2020,정보통신업
78,(주)골드앤에스,35290,2021,정보통신업
79,(주)골드퍼시픽,38530,2011,도매 및 소매업
80,(주)골드퍼시픽,38530,2012,도매 및 소매업
81,(주)골드퍼시픽,38530,2013,도매 및 소매업
82,(주)골드퍼시픽,38530,2014,도매 및 소매업
83,(주)골드퍼시픽,38530,2015,도매 및 소매업
84,(주)골드퍼시픽,38530,2016,도매 및 소매업
85,(주)골드퍼시픽,38530,2017,도매 및 소매업
86,(주)골드퍼시픽,38530,2018,도매 및 소매업
87,(주)골드퍼시픽,38530,2019,도매 및 소매업
88,(주)골드퍼시픽,38530,2020,도매 및 소매업
89,(주)골드퍼시픽,38530,2021,도매 및 소매업
90,(주)골프존,215000,2016,정보통신업
91,(주)골프존,215000,2017,정보통신업
92,(주)골프존,215000,2018,정보통신업
93,(주)골프존,215000,2019,정보통신업
94,(주)골프존,215000,2020,정보통신업
95,(주)골프존,215000,2021,정보통신업
96,(주)골프존뉴딘홀딩스,121440,2012,도매 및 소매업
97,(주)골프존뉴딘홀딩스,121440,2013,도매 및 소매업
98,(주)골프존뉴딘홀딩스,121440,2014,도매 및 소매업
99,(주)골프존뉴딘홀딩스,121440,2015,도매 및 소매업
100,(주)골프존뉴딘홀딩스,121440,2016,도매 및 소매업
101,(주)골프존뉴딘홀딩스,121440,2017,도매 및 소매업
102,(주)골프존뉴딘홀딩스,121440,2018,도매 및 소매업
103,(주)골프존뉴딘홀딩스,121440,2019,도매 및 소매업
104,(주)골프존뉴딘홀딩스,121440,2020,도매 및 소매업
105,(주)골프존뉴딘홀딩스,121440,2021,도매 및 소매업
106,(주)광림,14200,2011,제조업
107,(주)광림,14200,2012,제조업
108,(주)광림,14200,2013,제조업
109,(주)광림,14200,2014,제조업
110,(주)광림,14200,2015,제조업
111,(주)광림,14200,2016,제조업
112,(주)광림,14200,2017,제조업
113,(주)광림,14200,2018,제조업
114,(주)광림,14200,2019,제조업
115,(주)광림,14200,2020,제조업
116,(주)광림,14200,2021,제조업
117,(주)광무,29480,2011,제조업
118,(주)광무,29480,2012,제조업
119,(주)광무,29480,2013,제조업
120,(주)광무,29480,2014,제조업
121,(주)광무,29480,2015,제조업
122,(주)광무,29480,2016,제조업
123,(주)광무,29480,2017,제조업
124,(주)광무,29480,2018,제조업
125,(주)광무,29480,2019,제조업
126,(주)광무,29480,2020,제조업
127,(주)광무,29480,2021,제조업
128,(주)구영테크,53270,2011,제조업
129,(주)구영테크,53270,2012,제조업
130,(주)구영테크,53270,2013,제조업
131,(주)구영테크,53270,2014,제조업
132,(주)구영테크,53270,2015,제조업
133,(주)구영테크,53270,2016,제조업
