,거래소코드,회계년도,y,예측
0,58820,2011,0.0,0.0
1,58820,2012,0.0,1.0
2,58820,2013,0.0,0.0
3,58820,2014,0.0,0.0
4,58820,2015,0.0,0.0
5,58820,2016,0.0,0.0
6,58820,2017,0.0,0.0
7,58820,2018,0.0,1.0
8,58820,2019,0.0,0.0
9,58820,2020,0.0,0.0
10,50120,2011,0.0,1.0
11,50120,2012,0.0,0.0
12,50120,2013,0.0,0.0
13,50120,2014,0.0,1.0
14,50120,2015,0.0,0.0
15,50120,2016,0.0,0.0
16,50120,2017,0.0,0.0
17,50120,2018,0.0,1.0
18,50120,2019,0.0,0.0
19,50120,2020,0.0,1.0
20,79940,2011,0.0,0.0
21,79940,2012,0.0,0.0
22,79940,2013,0.0,0.0
23,79940,2014,0.0,0.0
24,79940,2015,0.0,0.0
25,79940,2016,0.0,0.0
26,79940,2017,0.0,0.0
27,79940,2018,0.0,0.0
28,79940,2019,0.0,0.0
29,79940,2020,0.0,0.0
30,217730,2016,0.0,1.0
31,217730,2017,0.0,1.0
32,217730,2018,0.0,0.0
33,217730,2019,0.0,1.0
34,217730,2020,0.0,1.0
35,114190,2011,0.0,0.0
36,114190,2012,0.0,0.0
37,114190,2013,0.0,0.0
38,114190,2014,0.0,0.0
39,114190,2015,0.0,0.0
40,114190,2016,0.0,0.0
41,114190,2017,0.0,0.0
42,114190,2018,0.0,0.0
43,114190,2019,0.0,1.0
44,114190,2020,1.0,1.0
45,198440,2018,0.0,0.0
46,198440,2019,0.0,1.0
47,198440,2020,0.0,0.0
48,98460,2011,0.0,0.0
49,98460,2012,0.0,0.0
50,98460,2013,0.0,0.0
51,98460,2014,0.0,0.0
52,98460,2015,0.0,0.0
53,98460,2016,0.0,0.0
54,98460,2017,0.0,0.0
55,98460,2018,0.0,0.0
56,98460,2019,0.0,0.0
57,98460,2020,0.0,0.0
58,35290,2011,0.0,0.0
59,35290,2012,0.0,1.0
60,35290,2013,0.0,1.0
61,35290,2014,1.0,1.0
62,35290,2015,1.0,0.0
63,35290,2016,0.0,0.0
64,35290,2017,0.0,1.0
65,35290,2018,0.0,0.0
66,35290,2019,1.0,0.0
67,35290,2020,1.0,1.0
68,38530,2011,0.0,0.0
69,38530,2012,0.0,0.0
70,38530,2013,0.0,0.0
71,38530,2014,0.0,1.0
72,38530,2015,0.0,1.0
73,38530,2016,0.0,1.0
74,38530,2017,1.0,1.0
75,38530,2018,0.0,0.0
76,38530,2019,0.0,1.0
77,38530,2020,0.0,1.0
78,215000,2016,0.0,0.0
79,215000,2017,0.0,0.0
80,215000,2018,0.0,0.0
81,215000,2019,0.0,0.0
82,215000,2020,0.0,0.0
83,121440,2012,0.0,0.0
84,121440,2013,0.0,0.0
85,121440,2014,0.0,0.0
86,121440,2015,0.0,0.0
87,121440,2016,0.0,0.0
88,121440,2017,0.0,0.0
89,121440,2018,0.0,0.0
90,121440,2019,0.0,1.0
91,121440,2020,0.0,0.0
92,14200,2011,0.0,1.0
93,14200,2012,0.0,1.0
94,14200,2013,0.0,0.0
95,14200,2014,0.0,0.0
96,14200,2015,0.0,0.0
97,14200,2016,0.0,1.0
98,14200,2017,0.0,1.0
99,14200,2018,0.0,1.0
100,14200,2019,0.0,1.0
101,14200,2020,0.0,1.0
102,29480,2011,0.0,1.0
103,29480,2012,0.0,1.0
104,29480,2013,0.0,1.0
105,29480,2014,1.0,1.0
106,29480,2015,0.0,1.0
107,29480,2016,0.0,1.0
108,29480,2017,0.0,1.0
109,29480,2018,0.0,1.0
110,29480,2019,0.0,1.0
111,29480,2020,0.0,1.0
112,53270,2011,0.0,0.0
113,53270,2012,0.0,0.0
114,53270,2013,0.0,1.0
115,53270,2014,0.0,0.0
116,53270,2015,0.0,1.0
117,53270,2016,0.0,0.0
118,53270,2017,0.0,0.0
119,53270,2018,0.0,0.0
120,53270,2019,0.0,0.0
121,53270,2020,0.0,1.0
122,66620,2011,0.0,0.0
123,66620,2012,0.0,0.0
124,66620,2013,0.0,0.0
125,66620,2014,0.0,0.0
126,66620,2015,0.0,0.0
127,66620,2016,0.0,0.0
128,66620,2017,0.0,0.0
129,66620,2018,0.0,0.0
130,66620,2019,0.0,0.0
131,66620,2020,0.0,0.0
132,43650,2011,0.0,0.0
133,43650,2012,0.0,0.0
134,43650,2013,0.0,0.0
135,43650,2014,0.0,1.0
136,43650,2015,0.0,0.0
137,43650,2016,0.0,1.0
138,43650,2017,0.0,0.0
139,43650,2018,0.0,0.0
140,43650,2019,1.0,1.0
141,43650,2020,0.0,0.0
142,6050,2011,0.0,0.0
143,6050,2012,0.0,0.0
144,6050,2013,0.0,0.0
145,6050,2014,0.0,1.0
146,6050,2015,0.0,0.0
147,6050,2016,0.0,0.0
148,6050,2017,0.0,0.0
