회사명,거래소코드,회계년도,종가,발행주식의총수,주식의종류
(주)CMG제약,58820,2009/12,1460,16584330,10
(주)CMG제약,58820,2009/12,1460,16584330,90
(주)CMG제약,58820,2010/12,792,41176375,10
(주)CMG제약,58820,2010/12,792,41176375,90
(주)CMG제약,58820,2011/12,785,43693200,10
(주)CMG제약,58820,2011/12,785,43693200,90
(주)CMG제약,58820,2012/12,1330,66025540,10
(주)CMG제약,58820,2012/12,1330,66025540,90
(주)CMG제약,58820,2013/12,932,86626866,90
(주)CMG제약,58820,2013/12,932,86626866,10
(주)CMG제약,58820,2014/12,912,86626866,90
(주)CMG제약,58820,2014/12,912,86626866,10
(주)CMG제약,58820,2014/12,912,0,20
(주)CMG제약,58820,2015/12,2110,88297244,90
(주)CMG제약,58820,2015/12,2110,88297244,10
(주)CMG제약,58820,2016/12,3180,108707244,90
(주)CMG제약,58820,2016/12,3180,108707244,10
(주)CMG제약,58820,2017/12,6240,108887244,90
(주)CMG제약,58820,2017/12,6240,108887244,10
(주)CMG제약,58820,2018/12,4235,108887244,10
(주)CMG제약,58820,2018/12,4235,108887244,90
(주)CMG제약,58820,2019/12,4250,138892244,10
(주)CMG제약,58820,2019/12,4250,138892244,90
(주)CMG제약,58820,2020/12,5780,138892244,10
(주)CMG제약,58820,2020/12,5780,138892244,90
(주)CMG제약,58820,2021/12,3835,138892244,10
(주)CMG제약,58820,2021/12,3835,138892244,90
(주)ES큐브,50120,2009/12,1760,21219438,90
(주)ES큐브,50120,2009/12,1760,21219438,10
(주)ES큐브,50120,2010/12,2385,23243905,90
(주)ES큐브,50120,2010/12,2385,23243905,10
(주)ES큐브,50120,2011/12,2120,23243905,10
(주)ES큐브,50120,2011/12,2120,23243905,90
(주)ES큐브,50120,2012/12,3430,23393158,10
(주)ES큐브,50120,2012/12,3430,23393158,90
(주)ES큐브,50120,2013/12,1540,36493326,90
(주)ES큐브,50120,2013/12,1540,36493326,10
(주)ES큐브,50120,2014/12,1395,36493326,10
(주)ES큐브,50120,2014/12,1395,36493326,90
(주)ES큐브,50120,2015/12,1605,36493326,90
(주)ES큐브,50120,2015/12,1605,36493326,10
(주)ES큐브,50120,2016/12,1705,41621527,10
(주)ES큐브,50120,2016/12,1705,41621527,90
(주)ES큐브,50120,2017/12,1030,83243054,90
(주)ES큐브,50120,2017/12,1030,83243054,10
(주)ES큐브,50120,2018/12,668,83243054,10
(주)ES큐브,50120,2018/12,668,83243054,90
(주)ES큐브,50120,2019/12,852,83088255,10
(주)ES큐브,50120,2019/12,852,83088255,90
(주)ES큐브,50120,2020/12,558,135640864,90
(주)ES큐브,50120,2020/12,558,135640864,10
(주)ES큐브,50120,2021/12,4960,13564086,90
(주)ES큐브,50120,2021/12,4960,13564086,10
(주)가비아,79940,2009/12,2130,12735684,10
(주)가비아,79940,2009/12,2130,12735684,90
(주)가비아,79940,2010/12,3050,12735684,10
(주)가비아,79940,2010/12,3050,12735684,90
(주)가비아,79940,2011/12,3950,12735684,90
(주)가비아,79940,2011/12,3950,12735684,10
(주)가비아,79940,2012/12,4035,13335684,90
(주)가비아,79940,2012/12,4035,13335684,10
(주)가비아,79940,2013/12,4790,13335684,90
(주)가비아,79940,2013/12,4790,13335684,10
(주)가비아,79940,2014/12,6420,13535684,90
(주)가비아,79940,2014/12,6420,13535684,10
(주)가비아,79940,2015/12,7130,13535684,90
(주)가비아,79940,2015/12,7130,13535684,10
(주)가비아,79940,2016/12,5840,13535684,10
(주)가비아,79940,2016/12,5840,13535684,90
(주)가비아,79940,2017/12,5870,13535684,10
(주)가비아,79940,2017/12,5870,13535684,90
(주)가비아,79940,2018/12,6360,13535684,90
(주)가비아,79940,2018/12,6360,13535684,10
(주)가비아,79940,2019/12,8280,13535684,90
(주)가비아,79940,2019/12,8280,13535684,10
(주)가비아,79940,2020/12,13150,13535684,10
(주)가비아,79940,2020/12,13150,13535684,90
(주)가비아,79940,2021/12,13500,13535684,10
(주)가비아,79940,2021/12,13500,13535684,90
(주)가온칩스,399720,2018/12,,,
(주)가온칩스,399720,2019/12,,,
(주)가온칩스,399720,2020/12,,,
(주)가온칩스,399720,2021/12,,,
(주)강스템바이오텍,217730,2013/12,,,
(주)강스템바이오텍,217730,2014/12,,,
(주)강스템바이오텍,217730,2015/12,10900,13817150,10
(주)강스템바이오텍,217730,2015/12,10900,13817150,90
